| 合う (あう) | 合う | Hợp | gặp, hợp | 友達に合う。(Gặp bạn.) |
| 会う (あう) | 会う | Hội | gặp | 友達に会う。(Gặp bạn.) |
| 遭う (あう) | 遭う | Tao | gặp phải | 事故に遭う。(Gặp tai nạn.) |
| 仰ぐ (あおぐ) | 仰ぐ | Ngưỡng | ngưỡng mộ, ngước nhìn | 先生を仰ぐ。(Ngưỡng mộ thầy giáo.) |
| 扇ぐ (あおぐ) | 扇ぐ | Thiên | quạt | 扇子で扇ぐ。(Quạt bằng quạt giấy.) |
| 煽る (あおる) | 煽る | Triển | kích động, khiêu khích | 感情を煽る。(Kích động cảm xúc.) |
| 上がる (あがる) | 上がる | Thượng | lên, tăng | 成績が上がる。(Điểm số tăng lên.) |
| 上げる (あげる) | 上げる | Thượng | nâng lên | 手を上げる。(Giơ tay lên.) |
| 開く (あく) | 開く | Khai | mở ra (tự động) | ドアが開く。(Cửa mở ra.) |
| 空く (あく) | 空く | Không | trống rỗng | 席が空く。(Chỗ ngồi còn trống.) |
| 明ける (あける) | 明ける | Minh | tỏa sáng, bình minh | 夜が明ける。(Trời sáng.) |
| 開ける (あける) | 開ける | Khai | mở | 窓を開ける。(Mở cửa sổ.) |
| 空ける (あける) | 空ける | Không | làm trống | カップを空ける。(Làm trống ly.) |
| 飽きる (あきる) | 飽きる | Bão | chán | 同じ食事に飽きる。(Chán cùng một món ăn.) |
| 諦める (あきらめる) | 諦める | Đế | từ bỏ, bỏ cuộc | 夢を諦める。(Từ bỏ ước mơ.) |
| 憧れる (あこがれる) | 憧れる | Đồng | mơ ước, khao khát | 自由に憧れる。(Khao khát tự do.) |
| 浅める (あさめる) | 浅める | Thiển | làm nông | 理解を浅める。(Làm hiểu biết trở nên nông cạn.) |
| 遊ぶ (あそぶ) | 遊ぶ | Dịu | chơi đùa | 公園で遊ぶ。(Chơi ở công viên.) |
| 与える (あたえる) | 与える | Dữ | cho, tặng | 賞を与える。(Trao giải thưởng.) |
| 温まる (あたたまる) | 温まる | Ôn | ấm lên | 手が温まる。(Tay ấm lên.) |
| 温める (あたためる) | 温める | Ôn | làm ấm | 食べ物を温める。(Làm ấm đồ ăn.) |
| 当たる (あたる) | 当たる | Đương | trúng, đụng | 宝くじが当たる。(Trúng xổ số.) |
| 当てる (あてる) | 当てる | Đương | đoán, đánh trúng | 的を当てる。(Bắn trúng mục tiêu.) |
| 扱う (あつかう) | 扱う | Quát | đối xử, xử lý | データを扱う。(Xử lý dữ liệu.) |
| 集まる (あつまる) | 集まる | Tập | tụ tập, tập trung | 人々が集まる。(Mọi người tập trung.) |
| 集める (あつめる) | 集める | Tập | thu thập, tập hợp | 切手を集める。(Sưu tập tem.) |
| 預かる (あずかる) | 預かる | Dự | giữ hộ | 子供を預かる。(Trông nom trẻ con.) |
| 預ける (あずける) | 預ける | Dự | gửi, ký gửi | 荷物を預ける。(Gửi hành lý.) |
| 浴びる (あびる) | 浴びる | Dục | tắm, dầm mình | 日光を浴びる。(Tắm nắng.) |
| 溢れる (あふれる) | 溢れる | Dật | tràn | 水が溢れる。(Nước tràn.) |
| 改める (あらためる) | 改める | Cải | sửa đổi | 態度を改める。(Sửa đổi thái độ.) |
| 洗う (あらう) | 洗う | Tẩy | rửa, giặt | 顔を洗う。(Rửa mặt.) |
| 荒らす (あらす) | 荒らす | Hoang | phá hoại, làm hỏng | 庭を荒らす。(Phá hoại khu vườn.) |
| 焦がす (あぶらす) | 焦がす | Tiêu | cháy khét | 肉を焦がす。(Làm thịt cháy khét.) |
| 甘える (あまえる) | 甘える | Cam | làm nũng | 子供が母親に甘える。(Đứa trẻ làm nũng mẹ.) |
| 余る (あまる) | 余る | Dư | còn lại, thừa | 時間が余る。(Thời gian còn thừa.) |
| 編む (あむ) | 編む | Biên | đan | セーターを編む。(Đan áo len.) |
| 危ぶむ (あやぶむ) | 危ぶむ | Nguy | lo sợ | 成功を危ぶむ。(Lo sợ không thành công.) |
| 謝る (あやまる) | 謝る | Tạ | xin lỗi | 過ちを謝る。(Xin lỗi về lỗi lầm.) |
| 争う (あらそう) | 争う | Tranh | tranh đấu, tranh giành | 優勝を争う。(Tranh giành chức vô địch.) |
| 表す (あらわす) | 表す | Biểu | thể hiện, biểu đạt | 感情を表す。(Thể hiện cảm xúc.) |
| 著す (あらわす) | 著す | Trước | viết, sáng tác | 本を著す。(Viết sách.) |
| 現れる (あらわれる) | 現れる | Hiện | xuất hiện | 虹が現れる。(Cầu vồng xuất hiện.) |
| 荒む (あらむ) | 荒む | Hoang | trở nên hoang tàn | 心が荒む。(Tâm hồn trở nên hoang vu.) |
| 荒れる (あれる) | 荒れる | Hoang | trở nên thô ráp, bão tố | 海が荒れる。(Biển động.) |
| 歩く (あるく) | 歩く | Bộ | đi bộ | 公園を歩く。(Đi bộ trong công viên.) |
| 合わせる (あわせる) | 合わせる | Hợp | kết hợp, chỉnh | 時計を合わせる。(Chỉnh đồng hồ.) |
| 慌てる (あわてる) | 慌てる | Hoảng | hoảng hốt, vội vàng | 時間がなくて慌てる。(Hoảng hốt vì không còn thời gian.) |
| 案じる (あんじる) | 案じる | Án | lo lắng | 子供の将来を案じる。(Lo lắng cho tương lai của con cái.) |
| 言う (いう) | 言う | Ngôn | nói | 真実を言う。(Nói sự thật.) |
| 活かす (いかす) | 活かす | Hoạt | phát huy, tận dụng | 経験を活かす。(Phát huy kinh nghiệm.) |
| 怒る (いかる) | 怒る | Nộ | tức giận | 不正に怒る。(Tức giận với sự bất công.) |
| 生きる (いきる) | 生きる | Sinh | sống | 精一杯生きる。(Sống hết mình.) |
| 行く (いく) | 行く | Hành | đi | 学校へ行く。(Đi đến trường.) |
| 弄る (いじる) | 弄る | Lộng | nghịch, mân mê | 髪を弄る。(Mân mê tóc.) |
| 急ぐ (いそぐ) | 急ぐ | Cấp | vội vàng | 学校に急ぐ。(Vội đến trường.) |
| 痛む (いたむ) | 痛む | Thống | đau | 頭が痛む。(Đau đầu.) |
| 傷む (いたむ) | 傷む | Thương | bị thương, hư hỏng | 食べ物が傷む。(Thức ăn bị hỏng.) |
| 痛める (いためる) | 痛める | Thống | làm đau, bị thương | 足首を痛める。(Làm đau mắt cá chân.) |
| 至る (いたる) | 至る | Chí | đến | 頂点に至る。(Đạt đến đỉnh cao.) |
| 抱く (いだく) | 抱く | Bão | ôm, ấp ủ | 希望を抱く。(Ấp ủ hy vọng.) |
| 威張る (いばる) | 威張る | Uy trương | kiêu ngạo | 部下に威張る。(Kiêu ngạo với cấp dưới.) |
| 嫌がる (いやがる) | 嫌がる | Hiềm | ghét, không thích | 勉強を嫌がる。(Ghét học.) |
| 祝う (いわう) | 祝う | Chúc | chúc mừng | 誕生日を祝う。(Chúc mừng sinh nhật.) |
| 入る (いる) | 入る | Nhập | vào | 部屋に入る。(Vào phòng.) |
| 居る (いる) | 居る | Cư | ở, sống | 家に居る。(Ở nhà.) |
| 要る (いる) | 要る | Yếu | cần thiết | お金が要る。(Cần tiền.) |
| 射る (いる) | 射る | Xạ | bắn | 矢を射る。(Bắn mũi tên.) |
| 煎る (いる) | 煎る | Tiễn | rang | コーヒーを煎る。(Rang cà phê.) |
| 入れる (いれる) | 入れる | Nhập | đặt vào | 砂糖を入れる。(Cho đường vào.) |
| 祈る (いのる) | 祈る | Kỳ | cầu nguyện | 平和を祈る。(Cầu nguyện cho hòa bình.) |
| 飢える (うえる) | 飢える | Cơ | đói | 何日も飢える。(Đói nhiều ngày.) |
| 植える (うえる) | 植える | Thực | trồng | 木を植える。(Trồng cây.) |
| 浮く (うく) | 浮く | Phù | nổi | 水に浮く。(Nổi trên nước.) |
| 浮かぶ (うかぶ) | 浮かぶ | Phù | trôi nổi, hiện ra | アイデアが浮かぶ。(Ý tưởng hiện ra.) |
| 浮かべる (うかべる) | 浮かべる | Phù | làm nổi | 船を浮かべる。(Làm cho thuyền nổi.) |
| 受かる (うかる) | 受かる | Thụ | thi đỗ | 試験に受かる。(Thi đỗ kỳ thi.) |
| 受ける (うける) | 受ける | Thụ | nhận | 賞を受ける。(Nhận giải thưởng.) |
| 承る (うけたまわる) | 承る | Thừa | nhận lãnh (kính ngữ) | 注文を承る。(Nhận lãnh đơn đặt hàng.) |
| 動く (うごく) | 動く | Động | di chuyển | 機械が動く。(Máy móc di chuyển.) |
| 動かす (うごかす) | 動かす | Động | làm di chuyển | 車を動かす。(Làm cho xe di chuyển.) |
| 失う (うしなう) | 失う | Thất | mất | 信頼を失う。(Mất lòng tin.) |
| 薄める (うすめる) | 薄める | Bạc | pha loãng | 酒を薄める。(Pha loãng rượu.) |
| 歌う (うたう) | 歌う | Ca | hát | 歌を歌う。(Hát một bài hát.) |
| 疑う (うたがう) | 疑う | Nghi | nghi ngờ | 彼を疑う。(Nghi ngờ anh ấy.) |
| 打つ (うつ) | 打つ | Đả | đánh | ボールを打つ。(Đánh bóng.) |
| 討つ (うつ) | 討つ | Thảo | chinh phạt | 敵を討つ。(Chinh phạt kẻ địch.) |
| 撃つ (うつ) | 撃つ | Kích | bắn (súng) | 銃を撃つ。(Bắn súng.) |
| 映す (うつす) | 映す | Ánh | chiếu, phản chiếu | 鏡に姿を映す。(Soi mình trong gương.) |
| 写す (うつす) | 写す | Tả | sao chép | ノートを写す。(Sao chép vở.) |
| 移す (うつす) | 移す | Di | di chuyển | 場所を移す。(Di chuyển địa điểm.) |
| 映る (うつる) | 映る | Ánh | được chiếu, phản chiếu | 月が水面に映る。(Trăng phản chiếu trên mặt nước.) |
| 写る (うつる) | 写る | Tả | được chụp | 写真に写る。(Được chụp ảnh.) |
| 移る (うつる) | 移る | Di | di chuyển, lây | 新しい家に移る。(Chuyển đến nhà mới.) / 風邪が移る。(Bệnh cảm bị lây.) |
| 頷く (うなずく) | 頷く | Hạm | gật đầu | 話を聞いて頷く。(Nghe chuyện rồi gật đầu.) |
| 唸る (うなる) | 唸る | Niệm | rên rỉ, gầm gừ | 犬が唸る。(Con chó gầm gừ.) |
| 奪う (うばう) | 奪う | Đoạt | cướp, giành | ボールを奪う。(Giành bóng.) |
| 生まれる (うまれる) | 生まれる | Sinh | được sinh ra | 赤ちゃんが生まれる。(Em bé được sinh ra.) |
| 埋まる (うまる) | 埋まる | Mai | bị chôn | 穴が埋まる。(Lỗ bị lấp.) |
| 産む (うむ) | 産む | Sản | sinh ra | 子供を産む。(Sinh con.) |
| 生む (うむ) | 生む | Sinh | sinh ra, tạo ra | 利益を生む。(Tạo ra lợi nhuận.) |
| 埋める (うめる) | 埋める | Mai | chôn, lấp | 穴を埋める。(Lấp lỗ.) |
| 敬う (うやまう) | 敬う | Kính | kính trọng | 年長者を敬う。(Kính trọng người lớn tuổi.) |
| 占う (うらなう) | 占う | Chiêm | đoán, bói | 運勢を占う。(Đoán vận may.) |
| 恨む (うらむ) | 恨む | Hận | hận, căm ghét | 彼を恨む。(Căm ghét anh ta.) |
| 羨む (うらやむ) | 羨む | Tiện | ghen tị | 他人の成功を羨む。(Ghen tị với thành công của người khác.) |
| 売る (うる) | 売る | Mại | bán | 車を売る。(Bán xe.) |
| 得る (うる) | 得る | Đắc | có được, đạt được | 知識を得る。(Có được kiến thức.) |
| 憂う (うれう) | 憂う | Ưu | lo lắng, buồn rầu | 将来を憂う。(Lo lắng về tương lai.) |
| 売れる (うれる) | 売れる | Mại | bán chạy | 新商品が売れる。(Sản phẩm mới bán chạy.) |
| 追う (おう) | 追う | Truy | đuổi theo | 犯人を追う。(Đuổi theo tội phạm.) |
| 負う (おう) | 負う | Phụ | gánh vác | 責任を負う。(Gánh vác trách nhiệm.) |
| 終える (おえる) | 終える | Chung | kết thúc | 仕事を終える。(Kết thúc công việc.) |
| 多い (おおい) | 多い | Đa | nhiều (tính từ) | 人が多い。(Nhiều người.) |
| 覆う (おおう) | 覆う | Phúc | che, phủ | 雪が地面を覆う。(Tuyết phủ kín mặt đất.) |
| 起きる (おきる) | 起きる | Khởi | thức dậy, xảy ra | 朝早く起きる。(Thức dậy sớm.) |
| 置く (おく) | 置く | Trí | đặt, để | 本を机に置く。(Đặt sách lên bàn.) |
| 送る (おくる) | 送る | Tống | gửi | 手紙を送る。(Gửi thư.) |
| 贈る (おくる) | 贈る | Tặng | tặng | 花を贈る。(Tặng hoa.) |
| 遅れる (おくれる) | 遅れる | Trì | trễ | 電車が遅れる。(Tàu bị trễ.) |
| 怒る (おこる) | 怒る | Nộ | tức giận | 結果に怒る。(Tức giận về kết quả.) |
| 起こる (おこる) | 起こる | Khởi | xảy ra | 事故が起こる。(Tai nạn xảy ra.) |
| 起こす (おこす) | 起こす | Khởi | gây ra | 運動を起こす。(Gây ra một phong trào.) |
| 行う (おこなう) | 行う | Hành | tổ chức, tiến hành | 会議を行う。(Tổ chức cuộc họp.) |
| 治まる (おさまる) | 治まる | Trị | ổn định | 病気が治まる。(Bệnh ổn định.) |
| 治める (おさめる) | 治める | Trị | cai trị, ổn định | 国を治める。(Cai trị đất nước.) |
| 収める (おさめる) | 収める | Thu | thu vào, cất | 荷物を収める。(Thu xếp hành lý.) |
| 修める (おさめる) | 修める | Tu | tu luyện | 学問を修める。(Tu luyện học vấn.) |
| 納める (おさめる) | 納める | Nạp | nộp | 税金を納める。(Nộp thuế.) |
| 教わる (おそわる) | 教わる | Giáo | được dạy | 先生に教わる。(Được thầy giáo dạy.) |
| 恐れる (おそれる) | 恐れる | Khủng | sợ | 失敗を恐れる。(Sợ thất bại.) |
| 落ちる (おちる) | 落ちる | Lạc | rơi | 葉が落ちる。(Lá rơi.) |
| 落とす (おとす) | 落とす | Lạc | làm rơi | ペンを落とす。(Làm rơi bút.) |
| 訪れる (おとずれる) | 訪れる | Phỏng | thăm | 友人を訪れる。(Thăm bạn.) |
| 衰える (おとろえる) | 衰える | Suy | suy yếu | 体力が衰える。(Thể lực suy yếu.) |
| 踊る (おどる) | 踊る | Dũng | nhảy múa | ステージで踊る。(Nhảy múa trên sân khấu.) |
| 脅す (おどす) | 脅す | Hiếp | đe dọa | 相手を脅す。(Đe dọa đối phương.) |
| 驚かす (おどろかす) | 驚かす | Kinh | làm ngạc nhiên | 人を驚かす。(Làm người khác ngạc nhiên.) |
| 驚く (おどろく) | 驚く | Kinh | ngạc nhiên | ニュースに驚く。(Ngạc nhiên trước tin tức.) |
| 覚える (おぼえる) | 覚える | Giác | nhớ, học | 単語を覚える。(Học từ vựng.) |
| 溺れる (おぼれる) | 溺れる | Nịch | chết đuối | 海で溺れる。(Chết đuối ở biển.) |
| 思う (おもう) | 思う | Tư | nghĩ | 幸せだと思う。(Nghĩ rằng hạnh phúc.) |
| 泳ぐ (およぐ) | 泳ぐ | Vịnh | bơi lội | 川で泳ぐ。(Bơi ở sông.) |
| 及ぶ (およぶ) | 及ぶ | Cập | lan tới, đạt đến | 被害が全国に及ぶ。(Thiệt hại lan tới khắp nước.) |
| 折る (おる) | 折る | Chiết | bẻ gãy | 枝を折る。(Bẻ gãy cành cây.) |
| 織る (おる) | 織る | Chức | dệt | 布を織る。(Dệt vải.) |
| 下りる (おりる) | 下りる | Hạ | xuống | バスを下りる。(Xuống xe buýt.) |
| 降りる (おりる) | 降りる | Giáng | xuống (trời mưa) | 雨が降りる。(Mưa rơi.) |
| 下ろす (おろす) | 下ろす | Hạ | hạ xuống | 荷物を下ろす。(Hạ hành lý xuống.) |
| 終わる (おわる) | 終わる | Chung | kết thúc | 授業が終わる。(Tiết học kết thúc.) |
| 買う (かう) | 買う | Mãi | mua | 本を買う。(Mua sách.) |
| 飼う (かう) | 飼う | Tự | nuôi (thú cưng) | 犬を飼う。(Nuôi chó.) |
| 返す (かえす) | 返す | Phản | trả lại | 本を返す。(Trả sách.) |
| 帰る (かえる) | 帰る | Quy | trở về | 家に帰る。(Trở về nhà.) |
| 代える (かえる) | 代える | Đại | thay thế | 新しいものに代える。(Thay bằng cái mới.) |
| 替える (かえる) | 替える | Thế | đổi | 電池を替える。(Đổi pin.) |
| 変える (かえる) | 変える | Biến | thay đổi | 計画を変える。(Thay đổi kế hoạch.) |
| 換える (かえる) | 換える | Hoán | đổi | お金を換える。(Đổi tiền.) |
| 抱える (かかえる) | 抱える | Bão | ôm, vác, mang (vấn đề) | 問題を抱える。(Mang vấn đề.) |
| 掛かる (かかる) | 掛かる | Quải | tốn (thời gian, tiền), bị khóa | 時間が掛かる。(Tốn thời gian.) / 鍵が掛かる。(Cửa bị khóa.) |
| 架かる (かかる) | 架かる | Giá | được bắc qua | 橋が架かる。(Cầu được bắc qua.) |
| 罹る (かかる) | 罹る | Li | mắc (bệnh) | 病気に罹る。(Mắc bệnh.) |
| 書く (かく) | 書く | Thư | viết | 手紙を書く。(Viết thư.) |
| 描く (かく) | 描く | Miêu | vẽ | 絵を描く。(Vẽ tranh.) |
| 掻く (かく) | 掻く | Tao | gãi, cào | 頭を掻く。(Gãi đầu.) |
| 欠く (かく) | 欠く | Khiếm | thiếu | 常識を欠く。(Thiếu kiến thức thông thường.) |
| 嗅ぐ (かぐ) | 嗅ぐ | Khứu | ngửi | 花の香りを嗅ぐ。(Ngửi hương hoa.) |
| 隠す (かくす) | 隠す | Ẩn | che giấu | 秘密を隠す。(Che giấu bí mật.) |
| 隠れる (かくれる) | 隠れる | Ẩn | trốn | カーテンの後ろに隠れる。(Trốn sau rèm cửa.) |
| 掛ける (かける) | 掛ける | Quải | treo, gọi (điện thoại), nhân | 壁に絵を掛ける。(Treo tranh lên tường.) / 電話を掛ける。(Gọi điện thoại.) / ３に２を掛ける。(Nhân 2 với 3.) |
| 駆ける (かける) | 駆ける | Khu | chạy nhanh | 野原を駆ける。(Chạy nhanh trên đồng.) |
| 賭ける (かける) | 賭ける | Đổ | cá cược | 金を賭ける。(Cá cược tiền.) |
| 囲む (かこむ) | 囲む | Vi | bao quanh | 家を塀で囲む。(Bao quanh nhà bằng tường.) |
| 重なる (かさなる) | 重なる | Trọng | chồng chất, trùng lặp | 予定が重なる。(Lịch trình bị trùng.) |
| 重ねる (かさねる) | 重ねる | Trọng | chồng lên, lặp lại | 本を重ねる。(Chồng sách lên.) / 練習を重ねる。(Luyện tập nhiều lần.) |
| 貸す (かす) | 貸す | Thải | cho vay, cho mượn | お金を貸す。(Cho vay tiền.) |
| 稼ぐ (かせぐ) | 稼ぐ | Giá | kiếm tiền | 生活費を稼ぐ。(Kiếm tiền sinh hoạt.) |
| 数える (かぞえる) | 数える | Số | đếm | 星を数える。(Đếm sao.) |
| 傾く (かたむく) | 傾く | Khuynh | nghiêng | 塔が傾く。(Tháp bị nghiêng.) |
| 傾ける (かたむける) | 傾ける | Khuynh | làm nghiêng | 首を傾ける。(Nghiêng đầu.) |
| 語る (かたる) | 語る | Ngữ | kể chuyện | 昔話を語る。(Kể chuyện ngày xưa.) |
| 勝つ (かつ) | 勝つ | Thắng | thắng | 試合に勝つ。(Thắng trận đấu.) |
| 悲しむ (かなしむ) | 悲しむ | Bi | buồn | 別れを悲しむ。(Buồn vì chia ly.) |
| 叶う (かなう) | 叶う | Hiệp | thành hiện thực (ước mơ) | 願いが叶う。(Ước mơ thành hiện thực.) |
| 適う (かなう) | 適う | Thích | phù hợp | 条件に適う。(Phù hợp với điều kiện.) |
| 被る (かぶる) | 被る | Bị | đội (mũ), chịu (trách nhiệm) | 帽子を被る。(Đội mũ.) / 責任を被る。(Chịu trách nhiệm.) |
| 構う (かまう) | 構う | Cấu | bận tâm, chăm sóc | 子供に構う。(Bận tâm tới con.) |
| 噛む (かむ) | 噛む | Hàm | cắn, nhai | パンを噛む。(Nhai bánh mì.) |
| 通う (かよう) | 通う | Thông | đi lại (thường xuyên) | 学校に通う。(Đi học.) |
| 揶揄う (からかう) | 揶揄う | Gia du | trêu chọc | 友達を揶揄う。(Trêu chọc bạn bè.) |
| 刈る (かる) | 刈る | Ngải | cắt, gặt | 稲を刈る。(Gặt lúa.) / 芝生を刈る。(Cắt cỏ.) |
| 枯れる (かれる) | 枯れる | Khô | héo, khô cạn | 花が枯れる。(Hoa héo.) / 井戸が枯れる。(Giếng cạn nước.) |
| 可愛がる (かわいがる) | 可愛がる | Khả ái | yêu thương, cưng chiều | 猫を可愛がる。(Cưng chiều mèo.) |
| 乾く (かわく) | 乾く | Can | khô | 服が乾く。(Quần áo khô.) |
| 渇く (かわく) | 渇く | Khát | khát | 喉が渇く。(Khát nước.) |
| 交わす (かわす) | 交わす | Giao | trao đổi | 意見を交わす。(Trao đổi ý kiến.) |
| 代わる (かわる) | 代わる | Đại | thay thế | 父に代わって挨拶する。(Thay mặt bố chào hỏi.) |
| 変わる (かわる) | 変わる | Biến | thay đổi | 信号が変わる。(Đèn tín hiệu thay đổi.) |
| 換わる (かわる) | 換わる | Hoán | được đổi | 円がドルに換わる。(Yên được đổi sang đô la.) |
| 感じる (かんじる) | 感じる | Cảm | cảm thấy | 寒さを感じる。(Cảm thấy lạnh.) |
| 聞こえる (きこえる) | 聞こえる | Văn | nghe thấy | 音が聞こえる。(Nghe thấy tiếng động.) |
| 効く (きく) | 効く | Hiệu | có hiệu quả | 薬が効く。(Thuốc có hiệu quả.) |
